,Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags,lat,lon,,
69,Fuel Supply Emergency - Coal,2014,2/7/2014,7:00 AM,3/21/2014,8:00 AM,"Somerset Operating Company, LLC",New York,NPCC,675,Unknown,"fuel supply emergency, coal",43,-75,,
70,Fuel Supply Emergency - Natural Gas,2014,2/6/2014,1:00 PM,2/6/2014,10:00 PM,California ISO,California,WECC,"4,000",Unknown,"fuel supply emergency, natural gas",36.778259,-119.417931,,
71,Public Appeal to Reduce Electricity Usage,2014,2/6/2014,1:58 PM,2/6/2014,8:40 PM,American Electric Power,Texas,TRE,Unknown,Unknown,public appeal,31,-100,,
72,Fuel Supply Emergency - Natural Gas,2014,2/6/2014,2:15 PM,2/6/2014,7:39 PM,Southern California Edison,California,WECC,611,Unknown,"fuel supply emergency, natural gas",36.778259,-119.417931,,
73,Fuel Supply Emergency - Natural Gas,2014,2/6/2014,1:05 PM,2/6/2014,7:15 PM,Pacific Gas & Electric Co,California,WECC,160,Unknown,"fuel supply emergency, natural gas",36.778259,-119.417931,,
74,Public Appeal to Reduce Electricity Usage,2014,2/6/2014,3:35 PM,2/7/2014,11:30 AM,ERCOT,Texas,TRE,Unknown,Unknown,public appeal,31,-100,,
75,Severe Weather - Snow/Ice,2014,2/5/2014,1:00 AM,2/9/2014,8:40 PM,FirstEnergy Corp: Met-Ed,Pennsylvania,RFC,Unknown,"144,000","severe weather, winter storm",41.203323,-77.194527,,
76,Severe Weather - Snow/Ice,2014,2/5/2014,12:00 AM,2/9/2014,6:00 PM,FirstEnergy Corp: Potomac Edison,"Maryland, West Virginia",RFC,Unknown,"101,580","severe weather, winter storm",39.045753,-76.641273,,
77,Severe Weather - Ice,2014,2/5/2014,8:05 AM,2/5/2014,8:06 AM,Baltimore Gas & Electric Company,Maryland,RFC,800,"181,000","severe weather, winter storm",39.045753,-76.641273,,
78,Fuel Supply Emergency - Coal,2014,2/5/2014,7:00 AM,2/23/2014,7:00 AM,Upstate New York Power Producers,New York,NPCC,300,Unknown,"fuel supply emergency, coal",43,-75,,
79,Severe Weather - Snow/Ice,2014,2/5/2014,5:00 AM,2/5/2014,5:01 AM,Exelon Corporation/PECO,Pennsylvania,RFC,Unknown,"715,000","severe weather, winter storm",41.203323,-77.194527,,
80,Severe Weather - Snow/Ice,2014,2/5/2014,7:35 AM,2/7/2014,4:03 AM,PPL Electric Utilities Corp,Pennsylvania,RFC,Unknown,"62,159","severe weather, winter storm",41.203323,-77.194527,,
81,Physical Attack - Vandalism,2014,1/30/2014,3:00 PM,Unknown,Unknown,Tucson Electric Power,Arizona,WECC,Unknown,Unknown,"vandalism, physical",34.048927,-111.093735,,
82,Physical Attack - Vandalism,2014,1/29/2014,4:00 PM,1/29/2014,4:44 PM,Madison Gas and Electric,Unknown,MRO,Unknown,Unknown,"vandalism, physical",,,,
83,Public Appeal due to Severe Weather - Cold,2014,1/27/2014,2:20 PM,1/28/2014,9:00 PM,PJM Interconnection,Maryland,RFC,Unknown,Unknown,"severe weather, cold",39.045753,-76.641273,,
84,Physical Attack,2014,1/26/2014,11:00 PM,Unknown,Unknown,Public Service Electric &Gas,New Jersey,RFC,Unknown,Unknown,"vandalism, physical",39.833851,-74.871826,,
85,Physical Attack - Vandalism,2014,1/26/2014,9:00 PM,1/27/2014,11:00 AM,PacifiCorp,Oregon,WECC,,,"vandalism, physical",44,-120.5,,
86,Physical Attack - Vandalism,2014,1/25/2014,10:00 AM,1/25/2014,11:00 AM,Madison Gas and Electric,Wisconsin,MRO,Unknown,Unknown,"vandalism, physical",44.5,-89.5,,
