,Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags,lat,lon,,
819,Thunderstorms,2010,9/22/2010,4:08 p.m.,9/26/2010,12:00 AM,Duquesne Light Company,Pennsylvania,RFC,156,"52,000","severe weather, thunderstorm",41.203323,-77.194527,,
820,Thunderstorms,2010,9/21/2010,9:31 p.m.,9/22/2010,2:30 PM,Consumers Energy,Michigan,RFC,,"138,000","severe weather, thunderstorm",44.182205,-84.506836,,
821,Low Flying Helicopter,2010,9/20/2010,5:00 p.m.,9/20/2010,5:30 PM,Birchwood Power Facility,Virginia,SERC,,,low flying helicopter,37.926868,-78.024902,,
822,Tropical Storm,2010,9/7/2010,2:02 p.m.,9/8/2010,1:27 AM,CPS Energy,Texas,TRE,,"340,350","severe weather, hurricane/tropical storm",31,-100,,
823,Electrical System Separation (Islanding),2010,9/1/2010,10:20 a.m.,9/1/2010,12:44 PM,Pacific Gas and Electric,California,WECC,31,"15,000",islanding,36.778259,-119.417931,,
824,Severe Weather,2010,8/23/2010,5:50 p.m.,8/24/2010,9:30 AM,CenterPoint Energy,Texas,TRE,746,"81,586",severe weather,31,-100,,
825,Severe Weather,2010,8/19/2010,6:00 p.m.,8/23/2010,3:30 PM,Detroit Edison,Michigan,RFC,340,"80,000",severe weather,44.182205,-84.506836,,
826,Made Public Appeals,2010,8/12/2010,3:42 p.m.,8/12/2010,10:10 PM,Wisconsin Public Service,Wisconsin,MRO,30,"7,600",public appeal,44.5,-89.5,,
827,Severe Weather,2010,8/12/2010,6:45 a.m.,8/12/2010,9:00 PM,Potomac Electric Power Co.,Maryland,RFC,,"101,003",severe weather,39.045753,-76.641273,,
828,Made Public Appeals,2010,8/12/2010,8:21 a.m.,8/12/2010,11:00 AM,Nebraska Public Power District,Nebraska,SPP,65,,public appeal,41.5,-100,,
829,Severe Weather,2010,8/11/2010,3:21 p.m.,8/11/2010,12:12 PM,American Electric Power,Ohio,RFC,,"57,000",severe weather,40.367474,-82.996216,,
830,Fuel Supply Defiency,2010,8/9/2010,12:00 p.m.,8/16/2010,12:00 PM,AES Greenidge and Cayuga0RFC),New York,,,,fuel supply emergency,43,-75,,
831,Thunderstorms,2010,8/5/2010,3:30 p.m.,8/5/2010,10:00 PM,Potomac Electric Power Co,Maryland,RFC,,"76,729","severe weather, thunderstorm",39.045753,-76.641273,,
832,Thunderstorms,2010,8/5/2010,3:54 p.m.,8/8/2010,12:00 AM,Dominion - Virginia Power,Virginia,RFC,,"145,157","severe weather, thunderstorm",37.926868,-78.024902,,
833,Made Public Appeals,2010,8/4/2010,12:00 p.m.,8/4/2010,10:00 PM,Southwestern Public Service Company,"Texas, New Mexico",SPP,,,public appeal,31,-100,,
834,Severe Weather,2010,8/4/2010,5:00 p.m.,8/6/2010,4:00 AM,American Electric Power,"Ohio, West Virginia, Kentucky",RFC,,"37,000",severe weather,40.367474,-82.996216,,
835,Thunderstorms,2010,8/4/2010,4:45 p.m.,8/7/2010,12:00 AM,Allegheny Power,"Pennsylvania, West Virginia",RFC,60,"11,186","severe weather, thunderstorm",41.203323,-77.194527,,
836,Fuel Supply Deficiency (Hydro),2010,8/2/2010,12:00 p.m.,8/2/2010,11:00 PM,California Department of Waters Resources,California,WECC,,,"fuel supply emergency, hydro",36.778259,-119.417931,,
837,Made Public Appeals,2010,8/2/2010,12:45 p.m.,8/4/2010,11:00 AM,Cleco Power LLC,Louisiana,SERC,,,public appeal,30.39183,-92.329102,,
838,Made Public Appeals,2010,8/2/2010,12:45 p.m.,8/4/2010,11:00 AM,Entergy,Louisiana,SERC,,,public appeal,30.39183,-92.329102,,
839,Made Public Appeals,2010,8/2/2010,12:45 p.m.,8/4/2010,11:00 AM,Southwest Louisiana Electric Membership Corporation,Louisiana,SERC,,,public appeal,30.39183,-92.329102,,
840,Made Public Appeals,2010,8/2/2010,12:45 p.m.,8/4/2010,11:00 AM,Lafayette Utilities Systems,Louisiana,SPP,,,public appeal,30.39183,-92.329102,,
841,Thunderstorms,2010,7/29/2010,5:43 p.m.,7/29/2010,8:07 PM,Dominion - Virginia Power,Virginia,SERC,,"55,000","severe weather, thunderstorm",37.926868,-78.024902,,
842,"Shed Interruptible Load, Wildfire",2010,7/29/2010,6:39 p.m.,7/29/2010,7:26 PM,Southern California Edison Company,California,WECC,522,,"load shedding, wild fire",36.778259,-119.417931,,
843,"Shed Interruptible Load, Wildfire",2010,7/29/2010,6:39 p.m.,7/29/2010,7:26 PM,California Independent System Operator,California,WECC,522,,"load shedding, wild fire",36.778259,-119.417931,,
844,Severe Weather,2010,7/25/2010,3:10 p.m.,7/30/2010,11:30 PM,Potomac Electric Power Co,Maryland,RFC,,"297,700",severe weather,39.045753,-76.641273,,
845,Severe Weather,2010,7/25/2010,4:11 p.m.,7/25/2010,8:06 PM,Dominion - Virginia Power,Virginia,SERC,900-1000,"81,000",severe weather,37.926868,-78.024902,,
846,Severe Weather,2010,7/25/2010,3:20 p.m.,7/27/2010,6:00 PM,Baltimore Gas and Electric,Maryland,RFC,480,"124,000",severe weather,39.045753,-76.641273,,
847,Made Public Appeals,2010,7/23/2010,10:00 a.m.,7/24/2010,11:55 PM,Pacificorp,Utah,WECC,6/8/2014,,public appeal,39.41922,-111.950684,,
848,Severe Weather,2010,7/23/2010,7:30 p.m.,7/26/2010,6:30 PM,Detroit Edison,Michigan,RFC,400,"82,000",severe weather,44.182205,-84.506836,,
849,Thunderstorms,2010,7/21/2010,6:44 p.m.,7/21/2010,8:00 PM,ISO New England,Connecticut,NPCC,,"50,100","severe weather, thunderstorm",41.599998,-72.699997,,
850,"Strong Winds, Tornadoes",2010,7/17/2010,8:30 p.m.,7/19/2010,10:00 PM,Xcel Energy,Minnesota,MRO,,"63,000","severe weather, tornado",46.39241,-94.63623,,
851,Severe Weather,2010,7/15/2010,7:00 p.m.,7/19/2010,11:30 PM,Detroit Edison,Michigan,RFC,540,"127,534",severe weather,44.182205,-84.506836,,
852,Loss of Transmission Equipment,2010,7/7/2010,4:13 p.m.,7/7/2010,10:29 PM,"PJM Interconnection, LLC",Pennsylvania,RFC,,"43,903",equipment failure,41.203323,-77.194527,,
853,Transformer Outage,2010,7/6/2010,3:47 a.m.,7/6/2010,4:37 AM,Delmarva Power & Light Company,Delaware,RFC,95,"18,400",equipment failure,39,-75.5,,
854,Electrical System Separation,2010,6/25/2010,11:36 p.m.,6/26/2010,1:38 AM,Pacific Gas and Electric,California,WECC,,,islanding,36.778259,-119.417931,,
855,Thunderstorms,2010,6/24/2010,3:30 p.m.,6/29/2010,11:59 PM,PECO,Pennsylvania,RFC,,"355,000","severe weather, thunderstorm",41.203323,-77.194527,,
856,Thunderstorms,2010,6/24/2010,3:00 p.m.,6/29/2010,12:00 PM,Atlantic City Electric,New Jersey,RFC,,"150,000","severe weather, thunderstorm",39.833851,-74.871826,,
857,Severe Weather,2010,6/23/2010,5:00 p.m.,6/25/2010,1:40 PM,Commonwealth Edison,Illinois,RFC,,"300,000",severe weather,40,-89,,
858,Thunderstorms,2010,6/23/2010,5:48 p.m.,6/24/2010,2:21 AM,Northern Indiana Public Service Company,Indiana,RFC,,"53,000","severe weather, thunderstorm",40.273502,-86.126976,,
859,Made Public Appeal/Transmission Equipment Failure,2010,6/22/2010,3:34 p.m.,6/22/2010,7:00 PM,Entergy,Arkansas,SERC,84,"25,159","public appeal, equipment failure",34.799999,-92.199997,,
860,Thunderstorms,2010,6/21/2010,1:48 p.m.,6/22/2010,8:31 PM,Duke Energy Midwest,Ohio,RFC,400,"50,636","severe weather, thunderstorm",40.367474,-82.996216,,
861,Severe Weather,2010,6/18/2010,8:00 p.m.,6/22/2010,7:30 PM,Detroit Edison,Michigan,RFC,,"150,000",severe weather,44.182205,-84.506836,,
862,Severe Weather,2010,6/18/2010,4:00 p.m.,6/20/2010,1:00 PM,Commonwealth Edison,Illinois,RFC,,"400,000",severe weather,40,-89,,
863,Severe Weather,2010,6/18/2010,8:00 p.m.,6/21/2010,10:45 AM,American Electric Power,"Indiana, Michigan",RFC,,"79,000",severe weather,40.273502,-86.126976,,
864,Thunderstorms,2010,6/18/2010,7:00 p.m.,6/19/2010,5:00 AM,Consumers Energy,Michigan,RFC,,"100,000","severe weather, thunderstorm",44.182205,-84.506836,,
865,Thunderstorms,2010,6/18/2010,3:30 p.m.,6/20/2010,12:30 AM,Northern Indiana Public Service Company,Indiana,RFC,,"94,345","severe weather, thunderstorm",40.273502,-86.126976,,
866,Made Public Appeal,2010,6/17/2010,8:30 a.m.,6/17/2010,5:47 PM,Louisiana Energy and Power Authority,Louisiana,SPP,,,public appeal,30.39183,-92.329102,,
867,Made Public Appeal,2010,6/17/2010,9:30 a.m.,6/17/2010,5:17 PM,Entergy,Louisiana,SERC,,,public appeal,30.39183,-92.329102,,
868,Made Public Appeal,2010,6/17/2010,9:30 a.m.,6/17/2010,4:40 PM,Cleco Power LLC,Louisiana,SERC,,,public appeal,30.39183,-92.329102,,
869,Made Public Appeal,2010,6/17/2010,9:30 a.m.,6/17/2010,4:40 PM,Southwest Louisiana Electric Membership Corporation,Louisiana,SPP,,,public appeal,30.39183,-92.329102,,
870,Electrical System Separation,2010,6/17/2010,10:49 a.m.,6/17/2010,11:02 AM,Western Area Power Administration,Montana,MRO,,,islanding,46.96526,-109.533691,,
871,Voltage Reduction (System Test),2010,6/16/2010,11:11 a.m.,6/16/2010,11:32 AM,Orange and Rockland Utilities,New York,NPCC,,,voltage reduction,43,-75,,
872,Transmission System Interruption,2010,6/9/2010,2:18 p.m.,6/9/2010,3:00 PM,North Carolina Eastern Municipal Power Agency,North Carolina,SERC,,"4,196",transmission interruption,35.782169,-80.793457,,
873,Thunderstorms,2010,6/8/2010,11:00 a.m.,6/8/2010,5:00 PM,Centerpoint Energy,Texas,TRE,,"79,741","severe weather, thunderstorm",31,-100,,
874,Firm Load Shed,2010,6/7/2010,6:29 p.m.,6/8/2010,1:00 AM,Public Service Company of Colorado,Colorado,WECC,300,"31,000",load shedding,39.113014,-105.358887,,
875,Electric System Separation,2010,6/6/2010,4:45 a.m.,6/6/2010,5:35 AM,Pacific Gas and Electric,California,WECC,3,"2,650",islanding,36.778259,-119.417931,,
876,Severe Weather,2010,6/2/2010,8:18 p.m.,6/4/2010,8:00 AM,CPS Energy,Texas,TRE,,"126,000",severe weather,31,-100,,
877,Firm Load Shed,2010,6/1/2010,10:03 p.m.,6/18/2010,12:30 AM,Southern Indiana Gas and Electric Company,Indiana,RFC,500,1,load shedding,40.273502,-86.126976,,
878,Made Public Appeal - System Drill,2010,5/26/2010,11:45 a.m.,5/26/2010,3:00 PM,Allegheny Power,"Maryland, Pennsylvania, West Virginia, Virginia","RFC, SERC",,,public appeal,39.045753,-76.641273,,
879,Breakers Tripped,2010,5/18/2010,8:15 a.m.,5/18/2010,10:46 PM,California Department of Water Resources,California,WECC,318,,breaker trip,36.778259,-119.417931,,
880,Thunderstorms,2010,5/2/2010,2:40 p.m.,5/9/2010,7:30 PM,Tennesse Valley Authority,"Tennessee, Mississippi",SERC,,"50,500","severe weather, thunderstorm",35.860119,-86.660156,,
881,Transmission System Interruption,2010,4/27/2010,2:55 p.m.,4/27/2010,2:55 PM,North Carolina Eastern Municipal Power Agency,North Carolina,SERC,,"29,376",transmission interruption,35.782169,-80.793457,,
882,Generator Tripped,2010,4/21/2010,3:05 p.m.,4/21/2010,8:00 PM,Dow Chemical Co,Louisiana,SERC,,,generator trip,30.39183,-92.329102,,
883,Severe Thunderstorms,2010,4/16/2010,5:15 p.m.,4/18/2010,5:00 PM,Allegheny Power,Pennsylvania,RFC,15,"120,000","severe weather, thunderstorm",41.203323,-77.194527,,
884,Shed Firm Load,2010,3/31/2010,11:59 p.m.,4/1/2010,12:55 AM,San Diego Gas & Electric Company,California,WECC,324,"290,000",load shedding,36.778259,-119.417931,,
885,Shed Firm Load,2010,3/31/2010,11:59 p.m.,4/1/2010,12:38 AM,California Independent System Operator,California,WECC,324,,load shedding,36.778259,-119.417931,,
886,High Winds and Rain,2010,3/13/2010,12:00 p.m.,3/15/2010,8:05 PM,ISO New England,Connecticut,NPCC,50,"50,246","severe weather, wind, rain",41.599998,-72.699997,,
887,High Winds and rain,2010,3/13/2010,1:00 a.m.,3/16/2010,6:40 PM,Exelon Corporation/PECO,Pennsylvania,RFC,,"177,528","severe weather, wind, rain",41.203323,-77.194527,,
888,High Winds and Rain,2010,3/13/2010,3:00 p.m.,3/17/2010,4:00 PM,Long Island Power Authority,New York,NPCC,,"153,000","severe weather, wind, rain",43,-75,,
889,High Winds and Rain,2010,3/13/2010,6:00 p.m.,3/20/2010,12:59 PM,Public Service Electric & Gas Company,New Jersey,RFC,100,"360,000","severe weather, wind, rain",39.833851,-74.871826,,
890,High Winds and Rain,2010,3/13/2010,6:00 p.m.,3/20/2010,9:00 AM,Consolidated Edison of NY,New York,NPCC,,"173,000","severe weather, wind, rain",43,-75,,
891,High Winds and Flooding,2010,3/13/2010,4:00 p.m.,3/16/2010,12:00 AM,Jersey Central Power and Light Company,New Jersey,RFC,,"180,000","severe weather, wind, flooding",39.833851,-74.871826,,
892,Winter Storm,2010,2/25/2010,12:01 a.m.,2/26/2010,9:00 PM,Orange and Rockland Utilities Inc,"New York, New Jersey",,,"65,000","severe weather, winter storm",43,-75,,
893,Winter Storm,2010,2/25/2010,5:00 p.m.,3/2/2010,7:00 PM,Consolidated Edison of NY,New York,NPCC,,"55,000","severe weather, winter storm",43,-75,,
894,Winter Storm,2010,2/25/2010,11:53 p.m.,3/1/2010,4:40 PM,ISO New England,"Maine, New Hampshire",NPCC,510,"509,606","severe weather, winter storm",45.367584,-68.972168,,
895,Winter Storm,2010,2/23/2010,10:00 p.m.,2/25/2010,4:00 PM,Central Hudson Gas & Electric Corp,New York,NPCC,,"150,000","severe weather, winter storm",43,-75,,
896,Firm System Load Shed,2010,2/19/2010,8:30 p.m.,2/20/2010,4:01 AM,California Department of Water Resources,California,WECC,"1,000",,load shedding,36.778259,-119.417931,,
897,Winter Storm,2010,2/14/2010,10:00 a.m.,2/14/2010,12:00 PM,Allegheny Power,"Pennsylvania, West Virginia",RFC,900,"190,000","severe weather, winter storm",41.203323,-77.194527,,
898,Winter Storm,2010,2/12/2010,5:00 a.m.,2/12/2010,5:00 PM,American Electric Power,"Texas, Arkansas, Lousiania",SPP,,"52,999","severe weather, winter storm",31,-100,,
899,Winter Storm,2010,2/11/2010,12:00 p.m.,2/15/2010,9:00 PM,Oncor Electric Delivery Company,Texas,TRE,,"500,000","severe weather, winter storm",31,-100,,
900,Winter Storm,2010,2/9/2010,6:00 p.m.,2/14/2010,4:00 PM,Exelon Corporation,Pennsylvania,RFC,,"223,000","severe weather, winter storm",41.203323,-77.194527,,
901,Winter Storm,2010,2/6/2010,8:00 a.m.,2/6/2010,9:00 AM,Delmarva Power & Light Company,Delaware,RFC,,"58,491","severe weather, winter storm",39,-75.5,,
902,Winter Storm,2010,2/6/2010,2:30 a.m.,2/7/2010,7:00 AM,Dominion,"Virginia, North Carolina",SERC,600,"104,736","severe weather, winter storm",37.926868,-78.024902,,
903,Winter Storm,2010,2/5/2010,6:48 p.m.,2/7/2010,5:00 PM,Duke Energy Carolinas,"North Carolina, South Carolina",SERC,500,"74,000","severe weather, winter storm",35.782169,-80.793457,,
904,Winter Storm,2010,2/5/2010,3:00 p.m.,2/13/2010,4:00 PM,Atlantic City Electric,New Jersey,RFC,,"221,000","severe weather, winter storm",39.833851,-74.871826,,
905,Winter Storm,2010,2/5/2010,7:00 p.m.,2/12/2010,3:46 PM,Potomac Electric Power Co,Maryland,RFC,,"97,651","severe weather, winter storm",39.045753,-76.641273,,
906,Winter Storm,2010,2/5/2010,10:30 p.m.,2/12/2010,12:00 PM,Duquesne Light Company,Pennsylvania,RFC,,"57,000","severe weather, winter storm",41.203323,-77.194527,,
907,Winter Storm,2010,2/5/2010,11:30 p.m.,2/7/2010,2:38 AM,American Electric Power,"Indiana, Ohio, West Virginia, Virginia",RFC,,"102,225","severe weather, winter storm",40.273502,-86.126976,,
908,Ice Storm/Electrical System Separation,2010,2/1/2010,2:32 p.m.,2/1/2010,5:00 PM,Western Farmers Electric Cooperative,Oklahoma,SPP,30,0,"severe weather, winter storm, islanding",36.084621,-96.921387,,
909,Ice Storm,2010,1/28/2010,12:00 p.m.,2/2/2010,12:00 PM,American Electric Power,Oklahoma,SPP,,"68,705","severe weather, winter storm",36.084621,-96.921387,,
910,Severe Storm,2010,1/20/2010,1:00 p.m.,1/24/2010,6:10 PM,Los Angeles Department of Water and Power,California,WECC,,"147,223","severe weather, storm",36.778259,-119.417931,,
911,Severe Storm,2010,1/19/2010,2:30 p.m.,1/20/2010,3:00 PM,San Diego Gas & Electric Company,California,WECC,"2,650","50,000","severe weather, storm",36.778259,-119.417931,,
912,Severe Storm,2010,1/19/2010,7:30 a.m.,1/19/2010,12:24 PM,California ISO,California,WECC,300,"30,000","severe weather, storm",36.778259,-119.417931,,
913,Severe Storm,2010,1/18/2010,11:30 a.m.,1/28/2010,8:00 AM,Pacific Gas and Electric Company,California,WECC,290,"1,700,000","severe weather, storm",36.778259,-119.417931,,
914,Interruptible Load Shed/Made Public Appeals,2010,1/11/2010,3:45 a.m.,1/11/2010,9:57 AM,Progress Energy Florida,California,"FRCC, SERC",,,"load shedding, public appeal",36.778259,-119.417931,,
915,Made Public Appeals,2010,1/6/2010,6:00 p.m.,1/8/2010,6:00 PM,Southwest Louisiana Electric Membership Corporation,Louisiana,SERC,,,public appeal,30.39183,-92.329102,,
916,Severe Weather,2009,12/18/2009,8:00 p.m.,12/25/2009,9:30 p.m.,American Electric Power,"West Virginia, Kentucky, Ohio",RFC,,"403,913",severe weather,39,-80.5,,
917,Severe Weather,2009,12/18/2009,10:55 p.m.,12/19/2009,11:15 p.m.,Progress Energy Carolinas Inc,North Carolina,SERC,,"47,000",severe weather,35.782169,-80.793457,,
918,Severe Weather,2009,12/10/2009,5:45 p.m.,12/12/2009,8:00 a.m.,Detroit Edison,Michigan,RFC,,"65,562",severe weather,44.182205,-84.506836,,
919,Severe Weather,2009,12/9/2009,1:37 p.m.,12/10/2009,6:30 a.m.,American Electric Power,Ohio,RFC,,"48,102",severe weather,40.367474,-82.996216,,
920,Load Shed/Made Public Appeals,2009,12/8/2009,6:34 a.m.,12/8/2009,12:00 p.m.,California Independent System Operator,California,WECC,,,"load shedding, public appeal",36.778259,-119.417931,,
921,Severe Weather,2009,12/8/2009,1:00 a.m.,12/10/2009,11:00 a.m.,Arizona Public Service,Arizona,WECC,,"140,000",severe weather,34.048927,-111.093735,,
922,Forced Outage Equipment Failure,2009,12/7/2009,10:00 p.m.,12/8/2009,4:00 a.m.,California Department of Water Resources,California,WECC,400,,equipment failure,36.778259,-119.417931,,
923,Switching Failure,2009,11/18/2009,6:15 a.m.,11/18/2009,10:00 a.m.,California Dept of Water Resources,California,WECC,630,,equipment failure,36.778259,-119.417931,,
924,Tropical Storm Ida,2009,11/12/2009,6:45 p.m.,11/14/2009,4:25 a.m.,Dominion VirginiaPower/Dominion North Carolina Power,"Virginia, North Carolina",SERC,400,"335,000","severe weather, hurricane/tropical storm",37.926868,-78.024902,,
925,High Winds,2009,10/13/2009,3:45 p.m.,10/13/2009,5:50 p.m.,Sacramento Municipal Utility District,California,WECC,90,"94,000","severe weather, wind",36.778259,-119.417931,,
926,Ice,2009,10/13/2009,12:48 p.m.,10/13/2009,2:34 p.m.,Western Area Power Administration Upper Great Plains Region,Wyoming,WECC,101,"35,500","severe weather, winter storm",43.07597,-107.290283,,
927,High Winds and Rain,2009,10/13/2009,4:00 p.m.,10/13/2009,10:30 p.m.,Pacific Gas and Electric,California,WECC,350,"859,554","severe weather, wind, rain",36.778259,-119.417931,,
928,Transmission System Interruption,2009,10/9/2009,6:30 p.m.,10/9/2009,7:10 p.m.,California Department of Water Resources,California,WECC,180,,transmission interruption,36.778259,-119.417931,,
929,Winter Storm,2009,10/9/2009,10:45 p.m.,10/11/2009,4:00 p.m.,Entergy Corporation,"Arkansas, Louisiana",SERC,,"56,000","severe weather, winter storm",34.799999,-92.199997,,
930,Severe Storms,2009,10/7/2009,5:45 a.m.,10/9/2009,11:00 p.m.,Detroit Edison,Michigan,RFC,,"75,000","severe weather, storm",44.182205,-84.506836,,
931,Made Public Appeals,2009,8/31/2009,10:31 a.m.,8/31/2009,12:00 a.m.,Los Angeles Department of Water and Power,California,WECC,,,public appeal,36.778259,-119.417931,,
932,Electrical System Separation,2009,8/29/2009,11:00 a.m.,8/29/2009,2:01 p.m.,Western Area Power Administration Upper Great Plains Region,South Dakota,MRO,373,18,islanding,44.5,-100,,
933,Electrical System Separation,2009,8/29/2009,10:54 p.m.,8/29/2009,11:53 p.m.,Midwest ISO,South Dakota,RFC,84,0,islanding,44.5,-100,,
934,Thunderstorms,2009,8/21/2009,7:00 p.m.,8/22/2009,8:00 a.m.,CenterPoint Energy,Texas,TRE,544,"80,000","severe weather, thunderstorm",31,-100,,
935,Thunderstorms,2009,8/12/2009,6:25 p.m.,8/12/2009,10:00 a.m.,CenterPoint Energy,Texas,TRE,491,"73,000","severe weather, thunderstorm",31,-100,,
936,Severe Thunderstorms,2009,8/9/2009,7:31 p.m.,8/10/2009,9:59 a.m.,Consumers Energy,Michigan,RFC,,"58,156","severe weather, thunderstorm",44.182205,-84.506836,,
937,High Winds and Rain,2009,8/7/2009,11:00 p.m.,8/11/2009,10:00 p.m.,Detroit Edison,"Arizona, California, Colorado, Iowa, Kansas, Minnesota, Montana, Nebraska, Nevada, New Mexico, North Dakota, South Dakota, Texas, Utah, Wyoming",RFC,,"137,000","severe weather, wind, rain",34.048927,-111.093735,,
938,Made Public Appeals,2009,8/5/2009,3:00 p.m.,8/5/2009,7:00 p.m.,ERCOT ISO,Texas,TRE,,,public appeal,31,-100,,
939,Thunderstorms,2009,8/4/2009,1:45 p.m.,8/8/2009,9:00 p.m.,Duke Energy Midwest,"Kentucky, Ohio, Indiana",RFC,50,"63,700","severe weather, thunderstorm",37.839333,-84.27002,,
940,Highwinds,2009,8/2/2009,2:17 a.m.,8/3/2009,1:09 p.m.,PECO Energy,Pennsylvania,RFC,,"70,264","severe weather, wind",41.203323,-77.194527,,
941,Loss of Part of Substation,2009,7/28/2009,8:18 p.m.,7/28/2009,8:33 p.m.,PacificCorp,Utah,WECC,316,,equipment failure,39.41922,-111.950684,,
942,Failure of Computer Hardware Used for Monitoring,2009,7/27/2009,5:05 a.m.,7/27/2009,5:47 a.m.,Tennessee Valley Authority,Tennessee,SERC,,,equipment failure,35.860119,-86.660156,,
943,Unit Tripped,2009,7/21/2009,5:34 a.m.,7/21/2009,8:43 a.m.,Crockett Cogeneration,California,WECC,136,1,generator trip,36.778259,-119.417931,,
944,Severe Thunderstorm,2009,7/20/2009,9:50 p.m.,7/22/2009,7:00 p.m.,Public Service Company of Colorado,Colorado,WECC,150,"86,058","severe weather, thunderstorm",39.113014,-105.358887,,
945,Thunderstorms,2009,7/18/2009,7:00 p.m.,7/19/2009,9:00 p.m.,CenterPoint Energy,Texas,TRE,51,"73,000","severe weather, thunderstorm",31,-100,,
946,Made Public Appeals,2009,7/16/2009,1:00 p.m.,7/16/2009,6:00 p.m.,AEP West,Louisiana,SPP,,,public appeal,30.39183,-92.329102,,
947,Made Public Appeals,2009,7/15/2009,1:00 p.m.,7/15/2009,6:00 p.m.,AEP West,Louisiana,SPP,,,public appeal,30.39183,-92.329102,,
948,Made Public Appeals,2009,7/14/2009,1:00 p.m.,7/14/2009,6:00 p.m.,AEP West,Louisiana,SPP,,,public appeal,30.39183,-92.329102,,
949,Made Public Appeals,2009,7/8/2009,1:30 p.m.,7/8/2009,7:00 p.m.,ERCOT ISO,Texas,TRE,,,public appeal,31,-100,,
950,Made Public Appeals,2009,7/7/2009,3:30 p.m.,7/7/2009,7:00 p.m.,ERCOT ISO,Texas,TRE,,,public appeal,31,-100,,
951,Electrical System Separation,2009,7/2/2009,10:44 p.m.,7/3/2009,1:25 a.m.,ISO New England,Maine,NPCC,0,0,islanding,45.367584,-68.972168,,
952,Severe Thunderstorms,2009,6/26/2009,5:00 p.m.,6/29/2009,9:00 a.m.,Connecticut Light and Power,Connecticut,NPCC,,"50,752","severe weather, thunderstorm",41.599998,-72.699997,,
953,Severe Thunderstorms,2009,6/26/2009,1:00 a.m.,6/27/2009,9:00 a.m.,Duke Energy Midwest,"Ohio, Kentucky, Indiana",RFC,327,"85,000","severe weather, thunderstorm",40.367474,-82.996216,,
954,High Winds/Rain,2009,6/25/2009,3:30 p.m.,6/28/2009,8:00 p.m.,Detroit Edison,"Arizona, California, Colorado, Iowa, Kansas, Minnesota, Montana, Nebraska, Nevada, New Mexico, North Dakota, South Dakota, Texas, Utah, Wyoming",RFC,,"118,000","severe weather, wind, rain",34.048927,-111.093735,,
955,Made Public Appeals,2009,6/25/2009,3:16 p.m.,6/25/2009,7:00 p.m.,ERCOT ISO,Texas,TRE,,,public appeal,31,-100,,
956,Made Public Appeals,2009,6/24/2009,1:30 p.m.,6/24/2009,10:00 p.m.,SW Louisiana Electric Membership Corp/ Louisiana Generating LLC,Louisiana,SERC,,,public appeal,30.39183,-92.329102,,
957,Severe Storm,2009,6/19/2009,1:00 p.m.,6/19/2009,11:59 p.m.,Exelon Corporation ComEd,Illinois,SERC,,"245,000","severe weather, storm",40,-89,,
958,Severe Storm,2009,6/19/2009,12:01 a.m.,6/21/2009,11:00 p.m.,Consumers Energy,Michigan,RFC,75,"99,000","severe weather, storm",44.182205,-84.506836,,
959,Fuel Supply Deficiency,2009,6/16/2009,11:00 p.m.,6/17/2009,2:00 a.m.,California Department of Water Resources,California,WECC,300,0,fuel supply emergency,36.778259,-119.417931,,
960,Severe Storm,2009,6/12/2009,4:37 p.m.,6/12/2009,6:53 p.m.,Tennessee Valley Authority,Tennessee,SERC,860,"136,000","severe weather, storm",35.860119,-86.660156,,
961,Severe Thunderstorm,2009,6/12/2009,10:00 p.m.,6/13/2009,6:00 p.m.,Southern Company,Georgia,SERC,290,"102,000","severe weather, thunderstorm",33.247875,-83.441162,,
962,Severe Thunderstorms,2009,6/12/2009,5:45 p.m.,6/15/2009,11:59 p.m.,Entergy Corporation,"Arkansas, Mississippi",SERC,,"81,645","severe weather, thunderstorm",34.799999,-92.199997,,
963,Severe Storms,2009,6/10/2009,6:00 p.m.,6/14/2009,10:00 a.m.,"Oncor Electric Delivery Company, LLC",Texas,TRE,,"800,000","severe weather, storm",31,-100,,
964,Severe Thunderstorms,2009,6/9/2009,5:25 p.m.,6/11/2009,5:00 a.m.,Baltimore Gas and Electric,Maryland,RFC,60,"85,091","severe weather, thunderstorm",39.045753,-76.641273,,
965,Electrical System Separation,2009,6/5/2009,1:38 p.m.,6/5/2009,8:18 p.m.,Pacific Gas and Electric,California,WECC,1,70,islanding,36.778259,-119.417931,,
966,Transmission Equipment Failure,2009,5/29/2009,9:05 a.m.,5/29/2009,7:57 p.m.,Big Rivers Electric Corporation,Kentucky,SERC,342,1,"equipment failure, transmission interruption",37.839333,-84.27002,,
967,Severe Thunderstorm,2009,5/8/2009,7:30 a.m.,5/8/2009,9:00 a.m.,The Empire District Electric Company,Missouri,SERC,266,"83,000","severe weather, thunderstorm",38.573936,-92.60376,,
968,Severe Thunderstorm,2009,5/8/2009,1:30 p.m.,5/14/2009,11:20 p.m.,Ameren,Illinois,SERC,300,"68,800","severe weather, thunderstorm",40,-89,,
969,High Winds,2009,4/27/2009,3:30 p.m.,4/28/2009,11:30 a.m.,CenterPoint Energy,Texas,TRE,176,"158,000","severe weather, wind",31,-100,,
